frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
27,13.640362000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.00e0017c0f2adbc1d23d9600859050fc64,41,2,5,0x00000001,1,0,0,0,,,
28,13.640939000,172.16.249.68,110.185.233.150,122,53,57251,1,0,dnscat.00e0017c0f2adbc1d23d9600859050fc64,41,2,5,0x00000001,1,1,0,0,dnscat.00e0017c0f2adbc1d23d9600859050fc64,43,60
29,14.688091000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.10d7017c0f8ad6bea5112f0086fa5e7258,41,2,15,0x00000001,1,0,0,0,,,
30,14.688672000,172.16.249.68,110.185.233.150,124,53,57251,1,0,dnscat.10d7017c0f8ad6bea5112f0086fa5e7258,41,2,15,0x00000001,1,1,0,0,dnscat.10d7017c0f8ad6bea5112f0086fa5e7258,45,60
31,15.736131000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.6bb1017c0f540d248a63b40087d1ee58b7,41,2,5,0x00000001,1,0,0,0,,,
32,15.736705000,172.16.249.68,110.185.233.150,122,53,57251,1,0,dnscat.6bb1017c0f540d248a63b40087d1ee58b7,41,2,5,0x00000001,1,1,0,0,dnscat.6bb1017c0f540d248a63b40087d1ee58b7,43,60
33,16.785771000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.7f9b017c0f25943e25e09d00888a8a2436,41,2,5,0x00000001,1,0,0,0,,,
34,16.786258000,172.16.249.68,110.185.233.150,122,53,57251,1,0,dnscat.7f9b017c0f25943e25e09d00888a8a2436,41,2,5,0x00000001,1,1,0,0,dnscat.7f9b017c0f25943e25e09d00888a8a2436,43,60
35,17.832920000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.51eb017c0f45932d3ad8040089e91cd5eb,41,2,16,0x00000001,1,0,0,0,,,
36,17.833457000,172.16.249.68,110.185.233.150,114,53,57251,1,0,dnscat.51eb017c0f45932d3ad8040089e91cd5eb,41,2,16,0x00000001,1,1,0,0,dnscat.51eb017c0f45932d3ad8040089e91cd5eb,35,60
37,18.883711000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.36a8017c0f4e9d4dd3bc24008a943b26ab,41,2,5,0x00000001,1,0,0,0,,,
38,18.884264000,172.16.249.68,110.185.233.150,122,53,57251,1,0,dnscat.36a8017c0f4e9d4dd3bc24008a943b26ab,41,2,5,0x00000001,1,1,0,0,dnscat.36a8017c0f4e9d4dd3bc24008a943b26ab,43,60
39,19.930364000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.2f02017c0f9e57ea0227c1008b433d59ff,41,2,5,0x00000001,1,0,0,0,,,
40,19.930954000,172.16.249.68,110.185.233.150,122,53,57251,1,0,dnscat.2f02017c0f9e57ea0227c1008b433d59ff,41,2,5,0x00000001,1,1,0,0,dnscat.2f02017c0f9e57ea0227c1008b433d59ff,43,60
41,20.978034000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.1e7d017c0f52618f94ea64008cd95aca95,41,2,16,0x00000001,1,0,0,0,,,
42,20.978627000,172.16.249.68,110.185.233.150,114,53,57251,1,0,dnscat.1e7d017c0f52618f94ea64008cd95aca95,41,2,16,0x00000001,1,1,0,0,dnscat.1e7d017c0f52618f94ea64008cd95aca95,35,60
43,22.032650000,110.185.233.150,172.16.249.68,67,57251,53,0,,dnscat.2476017c0fd3ed30b7d4ec008d011d53c7,41,2,16,0x00000001,1,0,0,0,,,
