frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
620,130.745908000,175.155.120.140,172.16.249.68,141,8604,53,0,,bc3Wf3xQffDQAg6gM8SrAUajLamUMeYLqxUrdTpxIUPf1Es20tk6GgvAKixiP2L.PaFGmzZL.dns2tcp.leaflove.cn,92,5,16,0x00000001,1,0,0,1,<Root>,12,
621,130.746763000,172.16.249.68,175.155.120.140,191,53,8604,1,0,bc3Wf3xQffDQAg6gM8SrAUajLamUMeYLqxUrdTpxIUPf1Es20tk6GgvAKixiP2L.PaFGmzZL.dns2tcp.leaflove.cn,92,5,16,0x00000001,1,1,0,0,bc3Wf3xQffDQAg6gM8SrAUajLamUMeYLqxUrdTpxIUPf1Es20tk6GgvAKixiP2L.PaFGmzZL.dns2tcp.leaflove.cn,61,30
622,130.936807000,175.155.120.140,172.16.249.68,141,9607,53,0,,bc3Wf3xQffDQQRprF2-2j3iHYYbIJfoz2k51dLlzRg4q3JVeGGpu0R0Z0kcKYp1.QjsyF7uP.dns2tcp.leaflove.cn,92,5,16,0x00000001,1,0,0,1,<Root>,12,
623,130.937597000,172.16.249.68,175.155.120.140,191,53,9607,1,0,bc3Wf3xQffDQQRprF2-2j3iHYYbIJfoz2k51dLlzRg4q3JVeGGpu0R0Z0kcKYp1.QjsyF7uP.dns2tcp.leaflove.cn,92,5,16,0x00000001,1,1,0,0,bc3Wf3xQffDQQRprF2-2j3iHYYbIJfoz2k51dLlzRg4q3JVeGGpu0R0Z0kcKYp1.QjsyF7uP.dns2tcp.leaflove.cn,61,30
624,130.955563000,59.37.116.141,172.16.249.68,98,28943,53,0,,ba8Lb8C4ffDKO5AaKjI2melamqy2x.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
625,130.956186000,172.16.249.68,59.37.116.141,148,53,28943,1,0,ba8Lb8C4ffDKO5AaKjI2melamqy2x.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKO5AaKjI2melamqy2x.dns2tcp.leaflove.cn,61,30
626,131.151549000,182.140.186.142,172.16.249.68,98,22876,53,0,,ba8Lb8C4ffDKPcIo2uYeFsj4FI3ID.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
627,131.151990000,172.16.249.68,182.140.186.142,103,53,22876,1,0,ba8Lb8C4ffDKPcIo2uYeFsj4FI3ID.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPcIo2uYeFsj4FI3ID.dns2tcp.leaflove.cn,16,30
628,131.229767000,175.155.120.140,172.16.249.68,98,47515,53,0,,ba8Lb8C4ffDKPcIqGnvHm0ecUkaOc.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
629,131.230168000,172.16.249.68,175.155.120.140,103,53,47515,1,0,ba8Lb8C4ffDKPcIqGnvHm0ecUkaOc.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPcIqGnvHm0ecUkaOc.dns2tcp.leaflove.cn,16,30
630,131.314725000,175.155.120.140,172.16.249.68,141,57502,53,0,,bc3Wf3xQffDQ7uNaUNLmK4dm42XLTiH-HwLQnp-7W8BqjDD5YhjfNW7PLbPX0rP.Ld5yP1ew.dns2tcp.leaflove.cn,92,5,16,0x00000001,1,0,0,1,<Root>,12,
631,131.315316000,172.16.249.68,175.155.120.140,146,53,57502,1,0,bc3Wf3xQffDQ7uNaUNLmK4dm42XLTiH-HwLQnp-7W8BqjDD5YhjfNW7PLbPX0rP.Ld5yP1ew.dns2tcp.leaflove.cn,92,5,16,0x00000001,1,1,0,0,bc3Wf3xQffDQ7uNaUNLmK4dm42XLTiH-HwLQnp-7W8BqjDD5YhjfNW7PLbPX0rP.Ld5yP1ew.dns2tcp.leaflove.cn,16,30
632,131.411267000,59.37.116.141,172.16.249.68,98,7873,53,0,,ba8Lb8C4ffDKPcIkmgh1cbctZZuur.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
633,131.411980000,172.16.249.68,59.37.116.141,148,53,7873,1,0,ba8Lb8C4ffDKPcIkmgh1cbctZZuur.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPcIkmgh1cbctZZuur.dns2tcp.leaflove.cn,61,30
634,131.512851000,59.37.116.141,172.16.249.68,98,51674,53,0,,ba8Lb8C4ffDKPgMe9nks4nlBoj9LZ.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
635,131.513603000,172.16.249.68,59.37.116.141,238,53,51674,1,0,ba8Lb8C4ffDKPgMe9nks4nlBoj9LZ.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPgMe9nks4nlBoj9LZ.dns2tcp.leaflove.cn,151,30
636,131.660807000,59.37.116.141,172.16.249.68,98,16119,53,0,,ba8Lb8C4ffDKPkQjf36YechRQkjNI.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
637,131.661166000,172.16.249.68,59.37.116.141,103,53,16119,1,0,ba8Lb8C4ffDKPkQjf36YechRQkjNI.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQjf36YechRQkjNI.dns2tcp.leaflove.cn,16,30
638,131.813603000,175.155.120.140,172.16.249.68,98,12106,53,0,,ba8Lb8C4ffDKPkQbMlRiAik48CTnU.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
