frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
1879,31986.145537000,192.168.1.247,192.168.1.1,39,56894,53,0,,ss1.baidu.com,13,3,1,0x00000001,1,0,0,0,,,
1880,31986.147529000,192.168.1.247,192.168.1.1,39,57383,53,0,,ss3.baidu.com,13,3,1,0x00000001,1,0,0,0,,,
1881,31986.148327000,192.168.1.1,192.168.1.247,86,53,63229,1,0,ss0.baidu.com,13,3,1,0x00000001,1,2,0,0,ss0.baidu.com,19,386
1882,31986.148987000,192.168.1.1,192.168.1.247,86,53,52206,1,0,ss2.baidu.com,13,3,1,0x00000001,1,2,0,0,ss2.baidu.com,19,675
1883,31986.149953000,192.168.1.1,192.168.1.247,86,53,56894,1,0,ss1.baidu.com,13,3,1,0x00000001,1,2,0,0,ss1.baidu.com,19,41
1884,31986.151731000,192.168.1.1,192.168.1.247,86,53,57383,1,0,ss3.baidu.com,13,3,1,0x00000001,1,2,0,0,ss3.baidu.com,19,707
1885,31987.815141000,192.168.1.247,192.168.1.1,39,64755,53,0,,sp1.baidu.com,13,3,1,0x00000001,1,0,0,0,,,
1886,31987.817907000,192.168.1.1,192.168.1.247,98,53,64755,1,0,sp1.baidu.com,13,3,1,0x00000001,1,3,0,0,sp1.baidu.com,15,596
1887,31987.915616000,192.168.1.247,192.168.1.1,43,59504,53,0,,dss2.bdstatic.com,17,3,1,0x00000001,1,0,0,0,,,
1888,31987.915616000,192.168.1.247,192.168.1.1,40,55536,53,0,,dss2.baidu.com,14,3,1,0x00000001,1,0,0,0,,,
1889,31987.916571000,192.168.1.247,192.168.1.1,40,62115,53,0,,dss0.baidu.com,14,3,1,0x00000001,1,0,0,0,,,
1890,31987.920330000,192.168.1.1,192.168.1.247,89,53,55536,1,0,dss2.baidu.com,14,3,1,0x00000001,1,2,0,0,dss2.baidu.com,21,6625
1891,31987.920331000,192.168.1.1,192.168.1.247,92,53,59504,1,0,dss2.bdstatic.com,17,3,1,0x00000001,1,2,0,0,dss2.bdstatic.com,21,6345
1892,31987.920332000,192.168.1.1,192.168.1.247,89,53,62115,1,0,dss0.baidu.com,14,3,1,0x00000001,1,2,0,0,dss0.baidu.com,21,3383
1893,31987.966355000,192.168.1.247,192.168.1.1,42,51316,53,0,,timg01.bdimg.com,16,3,1,0x00000001,1,0,0,0,,,
1894,31987.968911000,192.168.1.1,192.168.1.247,85,53,51316,1,0,timg01.bdimg.com,16,3,1,0x00000001,1,2,0,0,timg01.bdimg.com,15,5277
