frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
12327,117910.727633000,192.168.1.1,192.168.1.168,62,53,55765,1,0,hk06.clashcloud.tech,20,3,1,0x00000001,1,1,0,0,hk06.clashcloud.tech,4,84
12328,117918.201297000,192.168.1.168,192.168.1.1,40,59386,53,0,,mlog.bigda.com,14,3,1,0x00000001,1,0,0,0,,,
12329,117918.204905000,192.168.1.1,192.168.1.168,104,53,59386,1,0,mlog.bigda.com,14,3,1,0x00000001,1,4,0,0,mlog.bigda.com,4,38
12330,117918.334228000,192.168.1.168,192.168.1.1,38,57419,53,0,,do-dw.yy.com,12,3,1,0x00000001,1,0,0,0,,,
12331,117918.334928000,192.168.1.168,192.168.1.1,45,49498,53,0,,gate.yyembed.yy.com,19,4,1,0x00000001,1,0,0,0,,,
12332,117918.337484000,192.168.1.1,192.168.1.168,205,53,57419,1,0,do-dw.yy.com,12,3,1,0x00000001,1,9,0,0,do-dw.yy.com,27,445
12333,117918.337844000,192.168.1.1,192.168.1.168,77,53,49498,1,0,gate.yyembed.yy.com,19,4,1,0x00000001,1,2,0,0,gate.yyembed.yy.com,4,11
12334,117921.943794000,192.168.1.168,192.168.1.1,37,61542,53,0,,pcyy.yy.com,11,3,1,0x00000001,1,0,0,0,,,
12335,117921.947302000,192.168.1.1,192.168.1.168,69,53,61542,1,0,pcyy.yy.com,11,3,1,0x00000001,1,2,0,0,pcyy.yy.com,4,39
12336,117950.094965000,192.168.1.168,192.168.1.1,40,58443,53,0,,api.u-tools.cn,14,3,1,0x00000001,1,0,0,0,,,
12337,117950.098871000,192.168.1.1,192.168.1.168,56,53,58443,1,0,api.u-tools.cn,14,3,1,0x00000001,1,1,0,0,api.u-tools.cn,4,84
12338,117955.011406000,192.168.1.168,192.168.1.1,38,52467,53,0,,fanyi.qq.com,12,3,1,0x00000001,1,0,0,0,,,
12339,117955.014574000,192.168.1.1,192.168.1.168,99,53,52467,1,0,fanyi.qq.com,12,3,1,0x00000001,1,2,0,0,fanyi.qq.com,33,574
