frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
27,2.447853000,192.168.1.168,8.129.131.148,88,57317,53,0,,ZmIyK1pnMFNnQzI0MU5sMVhhYkRiNWNmcWxvNFJtblMwR3FCaDhLUGJBWl.com,62,2,1,0x00000001,1,0,0,0,,,
28,2.485625000,8.129.131.148,192.168.1.168,88,53,57317,1,0,ZmIyK1pnMFNnQzI0MU5sMVhhYkRiNWNmcWxvNFJtblMwR3FCaDhLUGJBWl.com,62,2,1,0x00000001,1,0,0,0,,,
29,2.486110000,192.168.1.168,8.129.131.148,88,57318,53,0,,dEQ0FPUFNTWTl6RTBpejFMK1ZCVHNEQ2hsMmFONi9zVi9QWlBJZlN4cnhq.com,62,2,1,0x00000001,1,0,0,0,,,
30,2.521603000,8.129.131.148,192.168.1.168,88,53,57318,1,0,dEQ0FPUFNTWTl6RTBpejFMK1ZCVHNEQ2hsMmFONi9zVi9QWlBJZlN4cnhq.com,62,2,1,0x00000001,1,0,0,0,,,
31,2.522231000,192.168.1.168,8.129.131.148,88,57319,53,0,,aC9CbG81b2VNRFpkTTFKU0lmWTBkVlNoMWlDRkVvQ1o5a095UVlvOGR6WT.com,62,2,1,0x00000001,1,0,0,0,,,
32,2.556775000,8.129.131.148,192.168.1.168,88,53,57319,1,0,aC9CbG81b2VNRFpkTTFKU0lmWTBkVlNoMWlDRkVvQ1o5a095UVlvOGR6WT.com,62,2,1,0x00000001,1,0,0,0,,,
33,2.557308000,192.168.1.168,8.129.131.148,88,57320,53,0,,NSR1V2NUNTL1gva3VCaVRkVzUxSkt5SEdnSXF3TWVNTW1WYmdHeldhMWps.com,62,2,1,0x00000001,1,0,0,0,,,
34,2.593434000,8.129.131.148,192.168.1.168,88,53,57320,1,0,NSR1V2NUNTL1gva3VCaVRkVzUxSkt5SEdnSXF3TWVNTW1WYmdHeldhMWps.com,62,2,1,0x00000001,1,0,0,0,,,
35,2.594130000,192.168.1.168,8.129.131.148,88,57321,53,0,,bkRqVEhEOE5TSHh1RGsyQThHeHB5aXpZOS9ZbTd2cXV0T2lpYTFjWnFZRm.com,62,2,1,0x00000001,1,0,0,0,,,
36,2.629167000,8.129.131.148,192.168.1.168,88,53,57321,1,0,bkRqVEhEOE5TSHh1RGsyQThHeHB5aXpZOS9ZbTd2cXV0T2lpYTFjWnFZRm.com,62,2,1,0x00000001,1,0,0,0,,,
37,2.629653000,192.168.1.168,8.129.131.148,88,57322,53,0,,J3cTBnaWVoTytBTk9OUGFqTmZyaXIxY1ZCSVptaHMrYm54ZWxkUTlUWmZD.com,62,2,1,0x00000001,1,0,0,0,,,
38,2.668555000,8.129.131.148,192.168.1.168,88,53,57322,1,0,J3cTBnaWVoTytBTk9OUGFqTmZyaXIxY1ZCSVptaHMrYm54ZWxkUTlUWmZD.com,62,2,1,0x00000001,1,0,0,0,,,
39,2.669130000,192.168.1.168,8.129.131.148,88,57323,53,0,,dW9DLzQxcEVGTUNmMzFJUjVDTW5vWUwyblk1ZkZDODk5N0lhbnBrZk1Bel.com,62,2,1,0x00000001,1,0,0,0,,,
40,2.705554000,8.129.131.148,192.168.1.168,88,53,57323,1,0,dW9DLzQxcEVGTUNmMzFJUjVDTW5vWUwyblk1ZkZDODk5N0lhbnBrZk1Bel.com,62,2,1,0x00000001,1,0,0,0,,,
41,2.706023000,192.168.1.168,8.129.131.148,88,57324,53,0,,hVKzR6dUpmOVB0bC8vY2pucVEvaE5MeW85MGk2a29MRDhtRVhiU0swWVlK.com,62,2,1,0x00000001,1,0,0,0,,,
42,2.743460000,8.129.131.148,192.168.1.168,88,53,57324,1,0,hVKzR6dUpmOVB0bC8vY2pucVEvaE5MeW85MGk2a29MRDhtRVhiU0swWVlK.com,62,2,1,0x00000001,1,0,0,0,,,
43,2.744067000,192.168.1.168,8.129.131.148,88,57325,53,0,,cEY0ZGwrQ0RGSGdGRC9KamtIbk5BclNqcDhvYmJ2TmxKZ29NRlFGM0oySz.com,62,2,1,0x00000001,1,0,0,0,,,
44,2.780604000,8.129.131.148,192.168.1.168,88,53,57325,1,0,cEY0ZGwrQ0RGSGdGRC9KamtIbk5BclNqcDhvYmJ2TmxKZ29NRlFGM0oySz.com,62,2,1,0x00000001,1,0,0,0,,,
45,2.781138000,192.168.1.168,8.129.131.148,88,57326,53,0,,VzZHVWNXVFQ0NCekZzeVV4UTJMTU5mSXlUQ1B2SExlUWN3ejlBdld6ekM5.com,62,2,1,0x00000001,1,0,0,0,,,
46,2.821208000,8.129.131.148,192.168.1.168,88,53,57326,1,0,VzZHVWNXVFQ0NCekZzeVV4UTJMTU5mSXlUQ1B2SExlUWN3ejlBdld6ekM5.com,62,2,1,0x00000001,1,0,0,0,,,
47,2.821710000,192.168.1.168,8.129.131.148,88,57327,53,0,,djJXeTZYcFdDSHdVOXBaSUttZGJDY1RQQW9TanV3d0s4dFl5QzRpWVc0Sk.com,62,2,1,0x00000001,1,0,0,0,,,
48,2.857560000,8.129.131.148,192.168.1.168,88,53,57327,1,0,djJXeTZYcFdDSHdVOXBaSUttZGJDY1RQQW9TanV3d0s4dFl5QzRpWVc0Sk.com,62,2,1,0x00000001,1,0,0,0,,,
49,2.858031000,192.168.1.168,8.129.131.148,88,57328,53,0,,9TY28vRW04OEE3R00xN0o1ekVYT2ZGZnFxcDRiM21EZUxIQjlqQWZxVU8v.com,62,2,1,0x00000001,1,0,0,0,,,
50,2.898136000,8.129.131.148,192.168.1.168,88,53,57328,1,0,9TY28vRW04OEE3R00xN0o1ekVYT2ZGZnFxcDRiM21EZUxIQjlqQWZxVU8v.com,62,2,1,0x00000001,1,0,0,0,,,
51,2.898662000,192.168.1.168,8.129.131.148,88,57329,53,0,,UWlUNzFKSHhLRFRYbURDRkd3UlJ1bXpoMnZZODB1T0d2cjE2SHBJL2R6bU.com,62,2,1,0x00000001,1,0,0,0,,,
52,2.939883000,8.129.131.148,192.168.1.168,88,53,57329,1,0,UWlUNzFKSHhLRFRYbURDRkd3UlJ1bXpoMnZZODB1T0d2cjE2SHBJL2R6bU.com,62,2,1,0x00000001,1,0,0,0,,,
53,2.940309000,192.168.1.168,8.129.131.148,88,57330,53,0,,UvUUsvRHJwZXNCUmlETEphMnZQNWdZbGh5NzBWdVA0aVFlSVE3V2c3MWYz.com,62,2,1,0x00000001,1,0,0,0,,,
54,2.979235000,8.129.131.148,192.168.1.168,88,53,57330,1,0,UvUUsvRHJwZXNCUmlETEphMnZQNWdZbGh5NzBWdVA0aVFlSVE3V2c3MWYz.com,62,2,1,0x00000001,1,0,0,0,,,
55,2.979756000,192.168.1.168,8.129.131.148,88,57331,53,0,,WDFwWTJzUXArd2J0WUR0blFKVDFZMC85M1V4T0J3ZE9uYVFacDlNWFc1bk.com,62,2,1,0x00000001,1,0,0,0,,,
56,3.021092000,8.129.131.148,192.168.1.168,88,53,57331,1,0,WDFwWTJzUXArd2J0WUR0blFKVDFZMC85M1V4T0J3ZE9uYVFacDlNWFc1bk.com,62,2,1,0x00000001,1,0,0,0,,,
57,3.021685000,192.168.1.168,8.129.131.148,88,57332,53,0,,IwNHRMRFNLdS85aFVYK2VtN09DbnFjeGlOTmJHZ0xWRlpvaTNoY3BXa1d0.com,62,2,1,0x00000001,1,0,0,0,,,
58,3.061153000,8.129.131.148,192.168.1.168,88,53,57332,1,0,IwNHRMRFNLdS85aFVYK2VtN09DbnFjeGlOTmJHZ0xWRlpvaTNoY3BXa1d0.com,62,2,1,0x00000001,1,0,0,0,,,
59,3.061789000,192.168.1.168,8.129.131.148,88,57333,53,0,,dmVOL016ZkExZmhQdGxELzQ1WUwyNkF5cVM1SW5UVStrdXJXUVMxZE8vVG.com,62,2,1,0x00000001,1,0,0,0,,,
60,3.100629000,8.129.131.148,192.168.1.168,88,53,57333,1,0,dmVOL016ZkExZmhQdGxELzQ1WUwyNkF5cVM1SW5UVStrdXJXUVMxZE8vVG.com,62,2,1,0x00000001,1,0,0,0,,,
61,3.101170000,192.168.1.168,8.129.131.148,88,57334,53,0,,13WFBYZ0FCeUpMQmpEWFZiTmU4a01FOXhjdGxxVWdHTXdoNjRyNStqVFVz.com,62,2,1,0x00000001,1,0,0,0,,,
62,3.142375000,8.129.131.148,192.168.1.168,88,53,57334,1,0,13WFBYZ0FCeUpMQmpEWFZiTmU4a01FOXhjdGxxVWdHTXdoNjRyNStqVFVz.com,62,2,1,0x00000001,1,0,0,0,,,
