frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
30,1.703817000,192.168.32.1,192.168.34.182,323,53,58953,1,0,oaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,oaa.stage.6334499.a.2rrrr.top,256,1
31,1.704789000,192.168.34.182,192.168.32.1,55,64655,53,0,,paa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
32,1.749037000,192.168.32.1,192.168.34.182,323,53,64655,1,0,paa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,paa.stage.6334499.a.2rrrr.top,256,1
33,1.749963000,192.168.34.182,192.168.32.1,55,60738,53,0,,qaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
34,1.808220000,192.168.32.1,192.168.34.182,323,53,60738,1,0,qaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,qaa.stage.6334499.a.2rrrr.top,256,1
35,1.809313000,192.168.34.182,192.168.32.1,55,65119,53,0,,raa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
36,1.857554000,192.168.32.1,192.168.34.182,323,53,65119,1,0,raa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,raa.stage.6334499.a.2rrrr.top,256,1
37,1.858620000,192.168.34.182,192.168.32.1,55,53461,53,0,,saa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
38,1.901305000,192.168.32.1,192.168.34.182,323,53,53461,1,0,saa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,saa.stage.6334499.a.2rrrr.top,256,1
39,1.902275000,192.168.34.182,192.168.32.1,55,53076,53,0,,taa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
40,1.946918000,192.168.32.1,192.168.34.182,323,53,53076,1,0,taa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,taa.stage.6334499.a.2rrrr.top,256,1
41,1.947892000,192.168.34.182,192.168.32.1,55,65398,53,0,,uaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
42,2.035856000,192.168.32.1,192.168.34.182,323,53,65398,1,0,uaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,uaa.stage.6334499.a.2rrrr.top,256,1
43,2.036920000,192.168.34.182,192.168.32.1,55,61460,53,0,,vaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
44,2.077594000,192.168.32.1,192.168.34.182,323,53,61460,1,0,vaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,vaa.stage.6334499.a.2rrrr.top,256,1
45,2.079157000,192.168.34.182,192.168.32.1,55,50321,53,0,,waa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
46,2.121503000,192.168.32.1,192.168.34.182,323,53,50321,1,0,waa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,waa.stage.6334499.a.2rrrr.top,256,1
47,2.122661000,192.168.34.182,192.168.32.1,55,58026,53,0,,xaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
48,2.171914000,192.168.32.1,192.168.34.182,323,53,58026,1,0,xaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,xaa.stage.6334499.a.2rrrr.top,256,1
49,2.172882000,192.168.34.182,192.168.32.1,55,59036,53,0,,yaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
50,2.213854000,192.168.32.1,192.168.34.182,323,53,59036,1,0,yaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,yaa.stage.6334499.a.2rrrr.top,256,1
51,2.215172000,192.168.34.182,192.168.32.1,55,49902,53,0,,zaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
52,2.254983000,192.168.32.1,192.168.34.182,323,53,49902,1,0,zaa.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,zaa.stage.6334499.a.2rrrr.top,256,1
53,2.255943000,192.168.34.182,192.168.32.1,55,49813,53,0,,aba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
54,2.293796000,192.168.32.1,192.168.34.182,323,53,49813,1,0,aba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,aba.stage.6334499.a.2rrrr.top,256,1
55,2.294829000,192.168.34.182,192.168.32.1,55,56489,53,0,,bba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,0,0,0,,,
56,2.341850000,192.168.32.1,192.168.34.182,323,53,56489,1,0,bba.stage.6334499.a.2rrrr.top,29,6,16,0x00000001,1,1,0,0,bba.stage.6334499.a.2rrrr.top,256,1
